Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,lat,lon
34,qp0951,48,0.0,0.020463802,Residential,1,Not Allowed,No,14.64553944,Foggy,-5.44097900390625,90.8404541015625
35,qp0959,48,0.0,0.007581356,Residential,1,Not Allowed,No,10.1389023,Rainy,-5.44097900390625,90.8624267578125
36,qp095c,48,0.0,0.011461659,Residential,2,Not Allowed,Yes,6.618796509,Snowy,-5.44097900390625,90.8734130859375
37,qp03p6,48,0.0,0.036950553,Residential,1,Not Allowed,No,6.29024729,Snowy,-5.43548583984375,90.6756591796875
38,qp03pf,48,0.0,0.001064408,Residential,3,Allowed,Yes,3.805847882,Snowy,-5.43548583984375,90.6976318359375
39,qp0944,48,0.0,0.007586594,Residential,3,Allowed,Yes,23.18939278,Sunny,-5.43548583984375,90.7965087890625
40,qp03p7,48,0.0,0.044305609,Residential,3,Allowed,Yes,19.1876261,Sunny,-5.42999267578125,90.6756591796875
41,qp03pe,48,0.0,0.060209995,Residential,1,Not Allowed,No,24.07865571,Sunny,-5.42999267578125,90.6866455078125
42,qp0907,48,0.0,0.009840906,Residential,3,Allowed,Yes,22.78211209,Sunny,-5.42999267578125,90.7196044921875
43,qp090e,48,0.0,0.095678713,Residential,3,Allowed,Yes,16.77558361,Foggy,-5.42999267578125,90.7305908203125
44,qp0945,48,0.0,0.037752969,Residential,2,Not Allowed,Yes,24.66184284,Sunny,-5.42999267578125,90.7965087890625
45,qp0957,48,0.0,0.005871473,Residential,2,Not Allowed,Yes,22.19329466,Sunny,-5.42999267578125,90.8514404296875
46,qp09h5,48,0.0,0.024247125,Residential,1,Not Allowed,No,17.33103934,Foggy,-5.42999267578125,90.8843994140625
47,qp03ps,48,0.0,0.009190742,Residential,2,Not Allowed,Yes,14.16741045,Foggy,-5.42449951171875,90.6866455078125
48,qp094k,48,0.0,0.003228952,Residential,1,Not Allowed,No,9.495198576,Rainy,-5.42449951171875,90.8074951171875
49,qp094u,48,0.0,0.005089874,Residential,2,Not Allowed,Yes,15.89920484,Foggy,-5.42449951171875,90.8294677734375
50,qp095k,48,0.0,0.048933712,Residential,2,Not Allowed,Yes,15.53374658,Foggy,-5.42449951171875,90.8514404296875
51,qp095s,48,0.0,0.006016013,Residential,3,Allowed,Yes,8.560095138,Rainy,-5.42449951171875,90.8624267578125
52,qp09hh,48,0.0,0.024240617,Residential,3,Allowed,Yes,12.91503857,Rainy,-5.42449951171875,90.8843994140625
53,qp09hs,48,0.0,0.050291696,Residential,2,Not Allowed,Yes,7.001167554,Rainy,-5.42449951171875,90.9063720703125
54,qp09jk,48,0.0,0.021687147,Residential,3,Allowed,Yes,7.433224179,Rainy,-5.42449951171875,90.9393310546875
55,qp090m,48,0.0,0.027184288,Residential,1,Not Allowed,No,18.35274019,Foggy,-5.41900634765625,90.7196044921875
56,qp090t,48,0.0,0.271214984,Street,1,Not Allowed,Yes,13.21728747,Rainy,-5.41900634765625,90.7305908203125
57,qp091t,48,0.0,0.041538776,Residential,1,Not Allowed,No,20.88038262,Sunny,-5.41900634765625,90.7745361328125
58,qp094j,48,0.0,0.012582049,Residential,1,Not Allowed,No,25.89578635,Sunny,-5.41900634765625,90.7965087890625
59,qp095j,48,0.0,0.019617192,Residential,2,Not Allowed,Yes,13.18433418,Rainy,-5.41900634765625,90.8404541015625
60,qp095m,48,0.0,0.020482348,Residential,2,Not Allowed,Yes,26.09274752,Sunny,-5.41900634765625,90.8514404296875
61,qp095v,48,0.0,0.027967481,Residential,2,Not Allowed,Yes,0.49936199,Snowy,-5.41900634765625,90.8734130859375
62,qp09hj,48,0.0,0.110175482,Residential,1,Not Allowed,No,9.58886944,Sunny,-5.41900634765625,90.8843994140625
63,qp09hm,48,0.0,0.056434847,Residential,3,Allowed,Yes,18.67837689,Foggy,-5.41900634765625,90.8953857421875
64,qp09ht,48,0.0,0.062416673,Residential,2,Not Allowed,Yes,9.140847501,Rainy,-5.41900634765625,90.9063720703125
65,qp09hv,48,0.0,0.11868873,Residential,1,Not Allowed,No,12.41127899,Rainy,-5.41900634765625,90.9173583984375
66,qp09jv,48,0.0,0.003855158,Residential,1,Not Allowed,No,13.90248132,Rainy,-5.41900634765625,90.9613037109375
67,qp03jq,48,0.0,0.007858262,Residential,3,Allowed,Yes,12.24120928,Rainy,-5.41351318359375,90.5877685546875
68,qp03jw,48,0.0,0.024457832,Residential,2,Not Allowed,Yes,26.74268962,Sunny,-5.41351318359375,90.5987548828125
69,qp03jy,48,0.0,0.024007468,Residential,3,Allowed,Yes,28.19077333,Sunny,-5.41351318359375,90.6097412109375
70,qp03nq,48,0.0,0.012561495,Residential,1,Not Allowed,No,16.27454208,Foggy,-5.41351318359375,90.6317138671875
71,qp03nw,48,0.0,0.006744141,Residential,2,Not Allowed,Yes,3.73558083,Snowy,-5.41351318359375,90.6427001953125
72,qp03ny,48,0.0,0.021760635,Residential,1,Not Allowed,No,17.07018094,Foggy,-5.41351318359375,90.6536865234375
73,qp03pq,48,0.0,0.010130699,Residential,2,Not Allowed,Yes,22.96708316,Sunny,-5.41351318359375,90.6756591796875
74,qp03pw,48,0.0,0.010513466,Residential,3,Allowed,Yes,15.33358064,Foggy,-5.41351318359375,90.6866455078125
75,qp03py,48,0.0,0.014699702,Residential,2,Not Allowed,Yes,12.8340823,Rainy,-5.41351318359375,90.6976318359375
76,qp090n,48,0.0,0.007898306,Residential,3,Allowed,Yes,12.51826891,Rainy,-5.41351318359375,90.7086181640625
77,qp090q,48,0.0,0.007802525,Residential,2,Not Allowed,Yes,24.69644851,Sunny,-5.41351318359375,90.7196044921875
78,qp090w,48,0.0,0.014985106,Residential,1,Not Allowed,No,-3.201481074,Snowy,-5.41351318359375,90.7305908203125
79,qp091q,48,0.0,0.010641636,Residential,2,Not Allowed,Yes,13.76074387,Rainy,-5.41351318359375,90.7635498046875
80,qp091y,48,0.0,0.002520232,Residential,3,Allowed,Yes,18.65191775,Foggy,-5.41351318359375,90.7855224609375
81,qp094n,48,0.0,0.064096121,Residential,2,Not Allowed,Yes,24.77618862,Sunny,-5.41351318359375,90.7965087890625
82,qp094q,48,0.0,0.077329605,Residential,1,Not Allowed,No,13.1374482,Rainy,-5.41351318359375,90.8074951171875
83,qp094y,48,0.0,0.024979826,Residential,1,Not Allowed,No,28.34525298,Sunny,-5.41351318359375,90.8294677734375
84,qp095n,48,0.0,0.009634366,Residential,2,Not Allowed,Yes,14.05956008,Foggy,-5.41351318359375,90.8404541015625
85,qp095q,48,0.0,0.089138648,Residential,1,Not Allowed,No,16.60120391,Foggy,-5.41351318359375,90.8514404296875
86,qp095w,48,0.0,0.078714066,Residential,3,Allowed,Yes,13.77818462,Rainy,-5.41351318359375,90.8624267578125
87,qp095y,48,0.0,0.009303629,Residential,1,Not Allowed,No,11.17008689,Rainy,-5.41351318359375,90.8734130859375
88,qp09hn,48,0.0,0.00738036,Residential,3,Allowed,Yes,19.77047395,Sunny,-5.41351318359375,90.8843994140625
89,qp09hq,48,0.0,0.00987061,Residential,1,Not Allowed,No,4.427161674,Snowy,-5.41351318359375,90.8953857421875
90,qp09hy,48,0.0,0.038094751,Residential,3,Allowed,Yes,7.675975022,Rainy,-5.41351318359375,90.9173583984375
91,qp09jq,48,0.0,0.104350987,Residential,2,Not Allowed,Yes,13.13795648,Rainy,-5.41351318359375,90.9393310546875
92,qp03jr,48,0.0,0.0009033,Residential,3,Allowed,Yes,13.24224289,Rainy,-5.40802001953125,90.5877685546875
93,qp03jx,48,0.0,0.012462034,Residential,1,Not Allowed,No,15.143851075,Sunny,-5.40802001953125,90.5987548828125
94,qp03nx,48,0.0,0.031325429,Residential,2,Not Allowed,Yes,17.04545926,Foggy,-5.40802001953125,90.6427001953125
95,qp03nz,48,0.0,0.073573662,Residential,3,Allowed,Yes,26.43308327,Sunny,-5.40802001953125,90.6536865234375
96,qp03pp,48,0.0,0.033408667,Residential,1,Not Allowed,No,27.41759356,Sunny,-5.40802001953125,90.6646728515625
97,qp03pr,48,0.0,0.075933982,Residential,3,Allowed,Yes,20.29026228,Unknown,-5.40802001953125,90.6756591796875
98,qp03px,48,0.0,0.034476845,Residential,1,Not Allowed,No,10.09486809,Rainy,-5.40802001953125,90.6866455078125
99,qp03pz,48,0.0,0.018899594,Residential,3,Allowed,Yes,8.267343975,Rainy,-5.40802001953125,90.6976318359375
100,qp090p,48,0.0,0.002852955,Residential,1,Not Allowed,No,13.94277418,Rainy,-5.40802001953125,90.7086181640625
101,qp090r,48,0.0,0.000235997,Residential,3,Allowed,Yes,16.09188243,Foggy,-5.40802001953125,90.7196044921875
102,qp090x,48,0.0,0.018841491,Residential,3,Allowed,Yes,8.634276447,Rainy,-5.40802001953125,90.7305908203125
103,qp091z,48,0.0,0.031067224,Residential,2,Not Allowed,Yes,24.76137962,Sunny,-5.40802001953125,90.7855224609375
104,qp094p,48,0.0,0.019321391,Residential,3,Allowed,Yes,14.49056475,Foggy,-5.40802001953125,90.7965087890625
105,qp094r,48,0.0,0.220576573,Street,1,Not Allowed,Yes,24.97769503,Sunny,-5.40802001953125,90.8074951171875
106,qp094x,48,0.0,0.079035961,Residential,2,Not Allowed,Yes,15.57755651,Foggy,-5.40802001953125,90.8184814453125
107,qp094z,48,0.0,0.012764384,Residential,2,Not Allowed,Yes,16.7061078,Foggy,-5.40802001953125,90.8294677734375
108,qp095r,48,0.0,0.110093719,Residential,3,Allowed,Yes,17.0024601,Foggy,-5.40802001953125,90.8514404296875
109,qp095x,48,0.0,0.039226459,Residential,1,Not Allowed,No,5.511214423,Snowy,-5.40802001953125,90.8624267578125
110,qp095z,48,0.0,0.008519356,Residential,2,Not Allowed,Yes,16.21413235,Foggy,-5.40802001953125,90.8734130859375
111,qp09hp,48,0.0,0.006581352,Residential,1,Not Allowed,No,26.67958457,Sunny,-5.40802001953125,90.8843994140625
112,qp09hr,48,0.0,1.37e-05,Residential,3,Allowed,Yes,17.7694756,Foggy,-5.40802001953125,90.8953857421875
113,qp09jp,48,0.0,0.03415688,Residential,1,Not Allowed,No,4.676950391,Snowy,-5.40802001953125,90.9283447265625
114,qp03m2,48,0.0,0.001698816,Residential,2,Not Allowed,Yes,18.44385301,Foggy,-5.40252685546875,90.5877685546875
115,qp03mb,48,0.0,0.025445735,Residential,2,Not Allowed,Yes,20.14578161,Sunny,-5.40252685546875,90.6097412109375
116,qp03q0,48,0.0,0.011307898,Residential,1,Not Allowed,No,23.75688997,Sunny,-5.40252685546875,90.6207275390625
117,qp03q2,48,0.0,0.024369027,Residential,3,Allowed,Yes,29.43178804,Sunny,-5.40252685546875,90.6317138671875
118,qp03q8,48,0.0,0.03326477,Residential,3,Allowed,Yes,18.43562191,Foggy,-5.40252685546875,90.6427001953125
119,qp03qb,48,0.0,0.037822467,Residential,2,Not Allowed,Yes,22.14733984,Sunny,-5.40252685546875,90.6536865234375
120,qp03r0,48,0.0,0.032249106,Residential,3,Allowed,Yes,34.40757528,Sunny,-5.40252685546875,90.6646728515625
121,qp03r2,48,0.0,0.120702189,Residential,2,Not Allowed,Yes,16.25166016,Foggy,-5.40252685546875,90.6756591796875
122,qp03r8,48,0.0,0.016589273,Residential,2,Not Allowed,Yes,11.20677134,Rainy,-5.40252685546875,90.6866455078125
123,qp0920,48,0.0,0.021494364,Residential,3,Allowed,Yes,25.38053635,Sunny,-5.40252685546875,90.7086181640625
124,qp0922,48,0.0,0.006603673,Residential,2,Not Allowed,Yes,15.504156678,Foggy,-5.40252685546875,90.7196044921875
125,qp0928,48,0.0,0.038711505,Residential,2,Not Allowed,Yes,5.627777006,Snowy,-5.40252685546875,90.7305908203125
126,qp093b,48,0.0,0.012104591,Residential,3,Allowed,Yes,22.43773777,Sunny,-5.40252685546875,90.7855224609375
127,qp0962,48,0.0,0.076749822,Residential,2,Not Allowed,Yes,13.61876381,Rainy,-5.40252685546875,90.8074951171875
128,qp096b,48,0.0,0.037398063,Residential,1,Not Allowed,No,18.0085686,Foggy,-5.40252685546875,90.8294677734375
129,qp0970,48,0.0,0.035033448,Unknown,2,Not Allowed,Yes,20.46829845,Sunny,-5.40252685546875,90.8404541015625
130,qp0972,48,0.0,0.060641945,Residential,1,Not Allowed,No,19.55263543,Sunny,-5.40252685546875,90.8514404296875
131,qp097b,48,0.0,0.001249009,Residential,3,Allowed,Yes,20.92216486,Sunny,-5.40252685546875,90.8734130859375
132,qp09k2,48,0.0,0.087377429,Residential,2,Not Allowed,Yes,16.85507401,Foggy,-5.40252685546875,90.8953857421875
133,qp09m0,48,0.0,0.010050438,Residential,1,Not Allowed,No,26.47889322,Sunny,-5.40252685546875,90.9283447265625
134,qp09m2,48,0.0,0.036923543,Residential,2,Not Allowed,Yes,12.23454974,Rainy,-5.40252685546875,90.9393310546875
135,qp03m3,48,0.0,0.010332192,Residential,2,Not Allowed,Yes,16.81078731,Foggy,-5.39703369140625,90.5877685546875
136,qp03q1,48,0.0,0.011504001,Residential,3,Allowed,Yes,7.947022256,Rainy,-5.39703369140625,90.6207275390625
137,qp03q3,48,0.0,0.056182738,Residential,1,Not Allowed,No,20.28121018,Sunny,-5.39703369140625,90.6317138671875
138,qp03q9,48,0.0,0.061406876,Residential,1,Not Allowed,No,13.25486517,Rainy,-5.39703369140625,90.6427001953125
139,qp03qc,48,0.0,0.068389778,Residential,2,Not Allowed,Yes,22.34348806,Sunny,-5.39703369140625,90.6536865234375
140,qp03r1,48,0.0,0.072813438,Residential,1,Not Allowed,No,18.93175052,Foggy,-5.39703369140625,90.6646728515625
141,qp03r3,48,0.0,0.035128713,Residential,2,Not Allowed,Yes,18.48355771,Foggy,-5.39703369140625,90.6756591796875
142,qp03r9,48,0.0,0.030309276,Residential,2,Not Allowed,Yes,10.91986363,Rainy,-5.39703369140625,90.6866455078125
143,qp0921,48,0.0,0.0213926,Residential,1,Not Allowed,No,23.1214439,Sunny,-5.39703369140625,90.7086181640625
144,qp0923,48,0.0,0.004066625,Residential,3,Allowed,Yes,17.76375341,Foggy,-5.39703369140625,90.7196044921875
145,qp0929,48,0.0,0.017855762,Residential,3,Allowed,Yes,22.66322902,Sunny,-5.39703369140625,90.7305908203125
146,qp093c,48,0.0,0.015511058,Residential,1,Not Allowed,No,20.94406784,Sunny,-5.39703369140625,90.7855224609375
147,qp0961,48,0.0,0.084981199,Residential,1,Not Allowed,No,19.45196377,Sunny,-5.39703369140625,90.7965087890625
148,qp0963,48,0.0,0.039502496,Residential,3,Allowed,Yes,15.71986028,Foggy,-5.39703369140625,90.8074951171875
149,qp0969,48,0.0,0.012471346,Residential,1,Not Allowed,No,14.29662347,Foggy,-5.39703369140625,90.8184814453125
150,qp096c,48,0.0,0.028242863,Residential,1,Not Allowed,No,13.97793616,Rainy,-5.39703369140625,90.8294677734375
151,qp0971,48,0.0,0.00230616,Residential,3,Allowed,Yes,23.46684106,Sunny,-5.39703369140625,90.8404541015625
152,qp097c,48,0.0,0.072967522,Residential,2,Not Allowed,Yes,16.6592674,Foggy,-5.39703369140625,90.8734130859375
153,qp09k1,48,0.0,0.013442628,Residential,3,Allowed,Yes,18.12886486,Foggy,-5.39703369140625,90.8843994140625
154,qp09k3,48,0.0,0.053986751,Residential,1,Not Allowed,No,18.30611664,Foggy,-5.39703369140625,90.8953857421875
155,qp09k9,48,0.0,0.011294559,Residential,1,Not Allowed,No,18.145872660000002,Foggy,-5.39703369140625,90.9063720703125
156,qp09kc,48,0.0,0.02418687,Residential,3,Allowed,Yes,17.98562868,Foggy,-5.39703369140625,90.9173583984375
157,qp03m6,48,0.0,0.006960675,Residential,3,Allowed,Yes,22.21630407,Sunny,-5.39154052734375,90.5877685546875
158,qp03mf,48,0.0,0.009558132,Residential,3,Allowed,Yes,16.25560958,Foggy,-5.39154052734375,90.6097412109375
159,qp03q6,48,0.0,0.027035897,Residential,1,Not Allowed,No,5.792314374,Snowy,-5.39154052734375,90.6317138671875
160,qp03qd,48,0.0,0.040776109,Residential,2,Not Allowed,Yes,15.49835987,Foggy,-5.39154052734375,90.6427001953125
161,qp03qf,48,0.0,0.199674526,Residential,3,Allowed,Yes,6.186266453,Snowy,-5.39154052734375,90.6536865234375
162,qp03r4,48,0.0,0.053837867,Residential,3,Allowed,Yes,19.80653414,Sunny,-5.39154052734375,90.6646728515625
163,qp03r6,48,0.0,0.054293771,Residential,3,Allowed,Yes,15.28320932,Foggy,-5.39154052734375,90.6756591796875
164,qp03rd,48,0.0,0.02344818,Residential,1,Not Allowed,No,15.42914247,Foggy,-5.39154052734375,90.6866455078125
165,qp03rf,48,0.0,0.03544351,Residential,2,Not Allowed,Yes,25.19935604,Sunny,-5.39154052734375,90.6976318359375
166,qp0924,48,0.0,0.033221497,Residential,2,Not Allowed,Yes,14.95095242,Foggy,-5.39154052734375,90.7086181640625
167,qp0926,48,0.0,0.034501581,Residential,2,Not Allowed,Yes,18.81922326,Foggy,-5.39154052734375,90.7196044921875
168,qp092d,48,0.0,0.005212328,Residential,3,Allowed,Yes,19.2472744,Sunny,-5.39154052734375,90.7305908203125
169,qp096f,48,0.0,0.110860506,Residential,1,Not Allowed,No,29.46837232,Sunny,-5.39154052734375,90.8294677734375
170,qp0974,48,0.0,0.057642168,Residential,1,Not Allowed,No,7.303705431,Rainy,-5.39154052734375,90.8404541015625
171,qp0976,48,0.0,0.039010934,Residential,2,Not Allowed,Yes,9.994762157,Rainy,-5.39154052734375,90.8514404296875
172,qp097d,48,0.0,0.008362084,Residential,3,Allowed,Yes,26.29580094,Sunny,-5.39154052734375,90.8624267578125
173,qp097f,48,0.0,0.024874965,Residential,3,Allowed,Yes,30.38585082,Sunny,-5.39154052734375,90.8734130859375
174,qp09k4,48,0.0,0.004637425,Residential,3,Allowed,Yes,24.97075289,Sunny,-5.39154052734375,90.8843994140625
175,qp03m7,48,0.0,0.005634894,Residential,1,Not Allowed,No,17.85814044,Foggy,-5.38604736328125,90.5877685546875
176,qp03me,48,0.0,0.021925439,Residential,2,Not Allowed,Yes,3.027670518,Snowy,-5.38604736328125,90.5987548828125
177,qp03mg,48,0.0,0.045046391,Residential,1,Not Allowed,No,14.49465898,Foggy,-5.38604736328125,90.6097412109375
178,qp03q5,48,0.0,0.006548609,Residential,3,Allowed,Yes,12.13158668,Rainy,-5.38604736328125,90.6207275390625
179,qp03q7,48,0.0,0.01435764,Residential,3,Allowed,Yes,10.71877819,Rainy,-5.38604736328125,90.6317138671875
180,qp03qe,48,0.0,0.038041835,Residential,2,Not Allowed,Yes,6.084655815,Snowy,-5.38604736328125,90.6427001953125
181,qp03qg,48,0.0,0.204313481,Residential,2,Not Allowed,Yes,4.929041361,Snowy,-5.38604736328125,90.6536865234375
182,qp03r5,48,0.0,0.005587976,Residential,1,Not Allowed,No,9.512780847,Rainy,-5.38604736328125,90.6646728515625
183,qp03re,48,0.0,0.070208075,Residential,2,Not Allowed,Yes,9.85391228,Rainy,-5.38604736328125,90.6866455078125
184,qp03rg,48,0.0,0.017617905,Residential,3,Allowed,Yes,9.177752285,Rainy,-5.38604736328125,90.6976318359375
185,qp0925,48,0.0,0.136524579,Residential,1,Not Allowed,No,7.019048233,Rainy,-5.38604736328125,90.7086181640625
186,qp0927,48,0.0,0.04091802,Residential,1,Not Allowed,No,5.061061648,Sunny,-5.38604736328125,90.7196044921875
187,qp092e,48,0.0,0.00764427,Residential,3,Allowed,Yes,3.103075063,Snowy,-5.38604736328125,90.7305908203125
188,qp093g,48,0.0,0.009290556,Residential,1,Not Allowed,No,17.32809215,Foggy,-5.38604736328125,90.7855224609375
189,qp096g,48,0.0,0.030251609,Residential,1,Not Allowed,No,6.091352348,Snowy,-5.38604736328125,90.8294677734375
190,qp0975,48,0.0,0.126854718,Residential,2,Not Allowed,Yes,29.09591424,Sunny,-5.38604736328125,90.8404541015625
191,qp0977,48,0.0,0.015076729,Residential,2,Not Allowed,Yes,18.10747715,Foggy,-5.38604736328125,90.8514404296875
192,qp097e,48,0.0,0.079649611,Residential,2,Not Allowed,Yes,21.95136094,Sunny,-5.38604736328125,90.8624267578125
193,qp097g,48,0.0,0.065913307,Residential,3,Allowed,Yes,17.59091423,Foggy,-5.38604736328125,90.8734130859375
194,qp09ke,48,0.0,0.062697524,Residential,3,Allowed,Yes,12.67576966,Unknown,-5.38604736328125,90.9063720703125
195,qp03ms,48,0.0,0.004812762,Residential,2,Not Allowed,Yes,10.13087749,Rainy,-5.38055419921875,90.5987548828125
196,qp03mu,48,0.0,0.009434529,Residential,2,Not Allowed,Yes,12.9570994,Rainy,-5.38055419921875,90.6097412109375
197,qp03qh,48,0.0,0.034072258,Residential,3,Allowed,Yes,21.10760267,Sunny,-5.38055419921875,90.6207275390625
198,qp03qs,48,0.0,0.088938325,Residential,2,Not Allowed,Yes,12.99443366,Rainy,-5.38055419921875,90.6427001953125
199,qp03qu,48,0.0,0.110981786,Residential,3,Allowed,Yes,23.07499464,Sunny,-5.38055419921875,90.6536865234375
200,qp03rh,48,0.0,0.025844812,Residential,1,Not Allowed,No,16.62870134,Foggy,-5.38055419921875,90.6646728515625
201,qp03rk,48,0.0,0.011637271,Residential,1,Not Allowed,No,8.01091292,Rainy,-5.38055419921875,90.6756591796875
202,qp03rs,48,0.0,0.021069454,Residential,2,Not Allowed,Yes,30.56491741,Sunny,-5.38055419921875,90.6866455078125
203,qp03ru,48,0.0,0.052531505,Residential,1,Not Allowed,No,17.6740709,Foggy,-5.38055419921875,90.6976318359375
204,qp092h,48,0.0,0.079627659,Residential,3,Allowed,Yes,19.65755021,Sunny,-5.38055419921875,90.7086181640625
205,qp092k,48,0.0,0.102426354,Residential,2,Not Allowed,Yes,31.35850903,Sunny,-5.38055419921875,90.7196044921875
206,qp092s,48,0.0,0.025149668,Residential,2,Not Allowed,Yes,5.768151846,Snowy,-5.38055419921875,90.7305908203125
207,qp093u,48,0.0,0.013594598,Residential,2,Not Allowed,Yes,18.91954153,Foggy,-5.38055419921875,90.7855224609375
208,qp096s,48,0.0,0.064482811,Residential,3,Allowed,Yes,19.63982782,Sunny,-5.38055419921875,90.8184814453125
209,qp096u,48,0.0,0.291181505,Street,1,Not Allowed,Yes,29.41526222,Sunny,-5.38055419921875,90.8294677734375
210,qp097h,48,0.0,0.014905768,Residential,1,Not Allowed,No,8.903490848,Rainy,-5.38055419921875,90.8404541015625
211,qp097k,48,0.0,0.025651361,Residential,2,Not Allowed,Yes,20.48352392,Sunny,-5.38055419921875,90.8514404296875
212,qp097s,48,0.0,0.155702168,Residential,1,Not Allowed,No,19.64081299,Sunny,-5.38055419921875,90.8624267578125
213,qp097u,48,0.0,0.114800143,Residential,2,Not Allowed,Yes,28.25575377,Sunny,-5.38055419921875,90.8734130859375
214,qp03mt,48,0.0,0.011971097,Residential,3,Allowed,Yes,16.53232947,Foggy,-5.37506103515625,90.5987548828125
215,qp03mv,48,0.0,0.021727989,Residential,2,Not Allowed,Yes,23.00311386,Sunny,-5.37506103515625,90.6097412109375
216,qp03qj,48,0.0,0.062810812,Residential,2,Not Allowed,Yes,19.26276438,Sunny,-5.37506103515625,90.6207275390625
217,qp03qm,48,0.0,0.083783987,Residential,2,Not Allowed,Yes,24.6046775,Foggy,-5.37506103515625,90.6317138671875
218,qp03qv,48,0.0,0.035655495,Residential,1,Not Allowed,No,29.94659062,Sunny,-5.37506103515625,90.6536865234375
