Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather
35,qp0959,48,0,0.007581356,Residential,1,Not Allowed,No,10.1389023,Rainy
36,qp095c,48,0,0.011461659,Residential,2,Not Allowed,Yes,6.618796509,Snowy
37,qp03p6,48,0,0.036950553,Residential,1,Not Allowed,No,6.29024729,Snowy
38,qp03pf,48,0,0.001064408,Residential,3,Allowed,Yes,3.805847882,Snowy
39,qp0944,48,0,0.007586594,Residential,3,Allowed,Yes,23.18939278,Sunny
40,qp03p7,48,0,0.044305609,Residential,3,Allowed,Yes,19.1876261,Sunny
41,qp03pe,48,0,0.060209995,Residential,1,Not Allowed,No,24.07865571,Sunny
42,qp0907,48,0,0.009840906,Residential,3,Allowed,Yes,22.78211209,Sunny
43,qp090e,48,0,0.095678713,Residential,3,Allowed,Yes,16.77558361,Foggy
44,qp0945,48,0,0.037752969,Residential,2,Not Allowed,Yes,24.66184284,Sunny
45,qp0957,48,0,0.005871473,Residential,2,Not Allowed,Yes,22.19329466,Sunny
46,qp09h5,48,0,0.024247125,Residential,1,Not Allowed,No,17.33103934,Foggy
47,qp03ps,48,0,0.009190742,Residential,2,Not Allowed,Yes,14.16741045,Foggy
48,qp094k,48,0,0.003228952,Residential,1,Not Allowed,No,9.495198576,Rainy
49,qp094u,48,0,0.005089874,Residential,2,Not Allowed,Yes,15.89920484,Foggy
50,qp095k,48,0,0.048933712,Residential,2,Not Allowed,Yes,15.53374658,Foggy
51,qp095s,48,0,0.006016013,Residential,3,Allowed,Yes,8.560095138,Rainy
52,qp09hh,48,0,0.024240617,Residential,3,Allowed,Yes,12.91503857,Rainy
53,qp09hs,48,0,0.050291696,Residential,2,Not Allowed,Yes,7.001167554,Rainy
54,qp09jk,48,0,0.021687147,Residential,3,Allowed,Yes,7.433224179,Rainy
55,qp090m,48,0,0.027184288,Residential,1,Not Allowed,No,18.35274019,Foggy
56,qp090t,48,0,0.271214984,Street,1,Not Allowed,Yes,13.21728747,Rainy
57,qp091t,48,0,0.041538776,Residential,1,Not Allowed,No,20.88038262,Sunny
58,qp094j,48,0,0.012582049,Residential,1,Not Allowed,No,25.89578635,Sunny
59,qp095j,48,0,0.019617192,Residential,2,Not Allowed,Yes,13.18433418,Rainy
60,qp095m,48,0,0.020482348,Residential,2,Not Allowed,Yes,26.09274752,Sunny
61,qp095v,48,0,0.027967481,Residential,2,Not Allowed,Yes,0.49936199,Snowy
62,qp09hj,48,0,0.110175482,Residential,1,Not Allowed,No,,Sunny
63,qp09hm,48,0,0.056434847,Residential,3,Allowed,Yes,18.67837689,Foggy
64,qp09ht,48,0,0.062416673,Residential,2,Not Allowed,Yes,9.140847501,Rainy
65,qp09hv,48,0,0.11868873,Residential,1,Not Allowed,No,12.41127899,Rainy
66,qp09jv,48,0,0.003855158,Residential,1,Not Allowed,No,13.90248132,Rainy
67,qp03jq,48,0,0.007858262,Residential,3,Allowed,Yes,12.24120928,Rainy
68,qp03jw,48,0,0.024457832,Residential,2,Not Allowed,Yes,26.74268962,Sunny
69,qp03jy,48,0,0.024007468,Residential,3,Allowed,Yes,28.19077333,Sunny
70,qp03nq,48,0,0.012561495,Residential,1,Not Allowed,No,16.27454208,Foggy
71,qp03nw,48,0,0.006744141,Residential,2,Not Allowed,Yes,3.73558083,Snowy
72,qp03ny,48,0,0.021760635,Residential,1,Not Allowed,No,17.07018094,Foggy
73,qp03pq,48,0,0.010130699,Residential,2,Not Allowed,Yes,22.96708316,Sunny
74,qp03pw,48,0,0.010513466,Residential,3,Allowed,Yes,15.33358064,Foggy
75,qp03py,48,0,0.014699702,Residential,2,Not Allowed,Yes,12.8340823,Rainy
76,qp090n,48,0,0.007898306,Residential,3,Allowed,Yes,12.51826891,Rainy
77,qp090q,48,0,0.007802525,Residential,2,Not Allowed,Yes,24.69644851,Sunny
78,qp090w,48,0,0.014985106,Residential,1,Not Allowed,No,-3.201481074,Snowy
79,qp091q,48,0,0.010641636,Residential,2,Not Allowed,Yes,13.76074387,Rainy
80,qp091y,48,0,0.002520232,Residential,3,Allowed,Yes,18.65191775,Foggy
81,qp094n,48,0,0.064096121,Residential,2,Not Allowed,Yes,24.77618862,Sunny
82,qp094q,48,0,0.077329605,Residential,1,Not Allowed,No,13.1374482,Rainy
83,qp094y,48,0,0.024979826,Residential,1,Not Allowed,No,28.34525298,Sunny
84,qp095n,48,0,0.009634366,Residential,2,Not Allowed,Yes,14.05956008,Foggy
85,qp095q,48,0,0.089138648,Residential,1,Not Allowed,No,16.60120391,Foggy
86,qp095w,48,0,0.078714066,Residential,3,Allowed,Yes,13.77818462,Rainy
87,qp095y,48,0,0.009303629,Residential,1,Not Allowed,No,11.17008689,Rainy
88,qp09hn,48,0,0.00738036,Residential,3,Allowed,Yes,19.77047395,Sunny
89,qp09hq,48,0,0.00987061,Residential,1,Not Allowed,No,4.427161674,Snowy
90,qp09hy,48,0,0.038094751,Residential,3,Allowed,Yes,7.675975022,Rainy
91,qp09jq,48,0,0.104350987,Residential,2,Not Allowed,Yes,13.13795648,Rainy
92,qp03jr,48,0,0.0009033,Residential,3,Allowed,Yes,13.24224289,Rainy
93,qp03jx,48,0,0.012462034,Residential,1,Not Allowed,No,,Sunny
94,qp03nx,48,0,0.031325429,Residential,2,Not Allowed,Yes,17.04545926,Foggy
95,qp03nz,48,0,0.073573662,Residential,3,Allowed,Yes,26.43308327,Sunny
96,qp03pp,48,0,0.033408667,Residential,1,Not Allowed,No,27.41759356,Sunny
97,qp03pr,48,0,0.075933982,Residential,3,Allowed,Yes,20.29026228,
98,qp03px,48,0,0.034476845,Residential,1,Not Allowed,No,10.09486809,Rainy
99,qp03pz,48,0,0.018899594,Residential,3,Allowed,Yes,8.267343975,Rainy
100,qp090p,48,0,0.002852955,Residential,1,Not Allowed,No,13.94277418,Rainy
101,qp090r,48,0,0.000235997,Residential,3,Allowed,Yes,16.09188243,Foggy
102,qp090x,48,0,0.018841491,Residential,3,Allowed,Yes,8.634276447,Rainy
103,qp091z,48,0,0.031067224,Residential,2,Not Allowed,Yes,24.76137962,Sunny
104,qp094p,48,0,0.019321391,Residential,3,Allowed,Yes,14.49056475,Foggy
105,qp094r,48,0,0.220576573,Street,1,Not Allowed,Yes,24.97769503,Sunny
106,qp094x,48,0,0.079035961,Residential,2,Not Allowed,Yes,15.57755651,Foggy
107,qp094z,48,0,0.012764384,Residential,2,Not Allowed,Yes,16.7061078,Foggy
108,qp095r,48,0,0.110093719,Residential,3,Allowed,Yes,17.0024601,Foggy
109,qp095x,48,0,0.039226459,Residential,1,Not Allowed,No,5.511214423,Snowy
110,qp095z,48,0,0.008519356,Residential,2,Not Allowed,Yes,16.21413235,Foggy
111,qp09hp,48,0,0.006581352,Residential,1,Not Allowed,No,26.67958457,Sunny
112,qp09hr,48,0,1.37E-05,Residential,3,Allowed,Yes,17.7694756,Foggy
113,qp09jp,48,0,0.03415688,Residential,1,Not Allowed,No,4.676950391,Snowy
114,qp03m2,48,0,0.001698816,Residential,2,Not Allowed,Yes,18.44385301,Foggy
115,qp03mb,48,0,0.025445735,Residential,2,Not Allowed,Yes,20.14578161,Sunny
116,qp03q0,48,0,0.011307898,Residential,1,Not Allowed,No,23.75688997,Sunny
117,qp03q2,48,0,0.024369027,Residential,3,Allowed,Yes,29.43178804,Sunny
118,qp03q8,48,0,0.03326477,Residential,3,Allowed,Yes,18.43562191,Foggy
119,qp03qb,48,0,0.037822467,Residential,2,Not Allowed,Yes,22.14733984,Sunny
120,qp03r0,48,0,0.032249106,Residential,3,Allowed,Yes,34.40757528,Sunny
121,qp03r2,48,0,0.120702189,Residential,2,Not Allowed,Yes,16.25166016,Foggy
122,qp03r8,48,0,0.016589273,Residential,2,Not Allowed,Yes,11.20677134,Rainy
123,qp0920,48,0,0.021494364,Residential,3,Allowed,Yes,25.38053635,Sunny
124,qp0922,48,0,0.006603673,Residential,2,Not Allowed,Yes,,Foggy
125,qp0928,48,0,0.038711505,Residential,2,Not Allowed,Yes,5.627777006,Snowy
126,qp093b,48,0,0.012104591,Residential,3,Allowed,Yes,22.43773777,Sunny
127,qp0962,48,0,0.076749822,Residential,2,Not Allowed,Yes,13.61876381,Rainy
128,qp096b,48,0,0.037398063,Residential,1,Not Allowed,No,18.0085686,Foggy
129,qp0970,48,0,0.035033448,,2,Not Allowed,Yes,20.46829845,Sunny
130,qp0972,48,0,0.060641945,Residential,1,Not Allowed,No,19.55263543,Sunny
131,qp097b,48,0,0.001249009,Residential,3,Allowed,Yes,20.92216486,Sunny
132,qp09k2,48,0,0.087377429,Residential,2,Not Allowed,Yes,16.85507401,Foggy
133,qp09m0,48,0,0.010050438,Residential,1,Not Allowed,No,26.47889322,Sunny
134,qp09m2,48,0,0.036923543,Residential,2,Not Allowed,Yes,12.23454974,Rainy
135,qp03m3,48,0,0.010332192,Residential,2,Not Allowed,Yes,16.81078731,Foggy
136,qp03q1,48,0,0.011504001,Residential,3,Allowed,Yes,7.947022256,Rainy
137,qp03q3,48,0,0.056182738,Residential,1,Not Allowed,No,20.28121018,Sunny
138,qp03q9,48,0,0.061406876,Residential,1,Not Allowed,No,13.25486517,Rainy
139,qp03qc,48,0,0.068389778,Residential,2,Not Allowed,Yes,22.34348806,Sunny
140,qp03r1,48,0,0.072813438,Residential,1,Not Allowed,No,18.93175052,Foggy
141,qp03r3,48,0,0.035128713,Residential,2,Not Allowed,Yes,18.48355771,Foggy
142,qp03r9,48,0,0.030309276,Residential,2,Not Allowed,Yes,10.91986363,Rainy
143,qp0921,48,0,0.0213926,Residential,1,Not Allowed,No,23.1214439,Sunny
144,qp0923,48,0,0.004066625,Residential,3,Allowed,Yes,17.76375341,Foggy
145,qp0929,48,0,0.017855762,Residential,3,Allowed,Yes,22.66322902,Sunny
146,qp093c,48,0,0.015511058,Residential,1,Not Allowed,No,20.94406784,Sunny
147,qp0961,48,0,0.084981199,Residential,1,Not Allowed,No,19.45196377,Sunny
148,qp0963,48,0,0.039502496,Residential,3,Allowed,Yes,15.71986028,Foggy
149,qp0969,48,0,0.012471346,Residential,1,Not Allowed,No,14.29662347,Foggy
150,qp096c,48,0,0.028242863,Residential,1,Not Allowed,No,13.97793616,Rainy
151,qp0971,48,0,0.00230616,Residential,3,Allowed,Yes,23.46684106,Sunny
152,qp097c,48,0,0.072967522,Residential,2,Not Allowed,Yes,16.6592674,Foggy
153,qp09k1,48,0,0.013442628,Residential,3,Allowed,Yes,18.12886486,Foggy
154,qp09k3,48,0,0.053986751,Residential,1,Not Allowed,No,18.30611664,Foggy
155,qp09k9,48,0,0.011294559,Residential,1,Not Allowed,No,,Foggy
156,qp09kc,48,0,0.02418687,Residential,3,Allowed,Yes,17.98562868,Foggy
157,qp03m6,48,0,0.006960675,Residential,3,Allowed,Yes,22.21630407,Sunny
158,qp03mf,48,0,0.009558132,Residential,3,Allowed,Yes,16.25560958,Foggy
159,qp03q6,48,0,0.027035897,Residential,1,Not Allowed,No,5.792314374,Snowy
160,qp03qd,48,0,0.040776109,Residential,2,Not Allowed,Yes,15.49835987,Foggy
161,qp03qf,48,0,0.199674526,Residential,3,Allowed,Yes,6.186266453,Snowy
162,qp03r4,48,0,0.053837867,Residential,3,Allowed,Yes,19.80653414,Sunny
163,qp03r6,48,0,0.054293771,Residential,3,Allowed,Yes,15.28320932,Foggy
164,qp03rd,48,0,0.02344818,Residential,1,Not Allowed,No,15.42914247,Foggy
165,qp03rf,48,0,0.03544351,Residential,2,Not Allowed,Yes,25.19935604,Sunny
166,qp0924,48,0,0.033221497,Residential,2,Not Allowed,Yes,14.95095242,Foggy
167,qp0926,48,0,0.034501581,Residential,2,Not Allowed,Yes,18.81922326,Foggy
168,qp092d,48,0,0.005212328,Residential,3,Allowed,Yes,19.2472744,Sunny
169,qp096f,48,0,0.110860506,Residential,1,Not Allowed,No,29.46837232,Sunny
170,qp0974,48,0,0.057642168,Residential,1,Not Allowed,No,7.303705431,Rainy
171,qp0976,48,0,0.039010934,Residential,2,Not Allowed,Yes,9.994762157,Rainy
172,qp097d,48,0,0.008362084,Residential,3,Allowed,Yes,26.29580094,Sunny
173,qp097f,48,0,0.024874965,Residential,3,Allowed,Yes,30.38585082,Sunny
174,qp09k4,48,0,0.004637425,Residential,3,Allowed,Yes,24.97075289,Sunny
175,qp03m7,48,0,0.005634894,Residential,1,Not Allowed,No,17.85814044,Foggy
176,qp03me,48,0,0.021925439,Residential,2,Not Allowed,Yes,3.027670518,Snowy
177,qp03mg,48,0,0.045046391,Residential,1,Not Allowed,No,14.49465898,Foggy
178,qp03q5,48,0,0.006548609,Residential,3,Allowed,Yes,12.13158668,Rainy
179,qp03q7,48,0,0.01435764,Residential,3,Allowed,Yes,10.71877819,Rainy
180,qp03qe,48,0,0.038041835,Residential,2,Not Allowed,Yes,6.084655815,Snowy
181,qp03qg,48,0,0.204313481,Residential,2,Not Allowed,Yes,4.929041361,Snowy
182,qp03r5,48,0,0.005587976,Residential,1,Not Allowed,No,9.512780847,Rainy
183,qp03re,48,0,0.070208075,Residential,2,Not Allowed,Yes,9.85391228,Rainy
184,qp03rg,48,0,0.017617905,Residential,3,Allowed,Yes,9.177752285,Rainy
185,qp0925,48,0,0.136524579,Residential,1,Not Allowed,No,7.019048233,Rainy
186,qp0927,48,0,0.04091802,Residential,1,Not Allowed,No,,Sunny
187,qp092e,48,0,0.00764427,Residential,3,Allowed,Yes,3.103075063,Snowy
188,qp093g,48,0,0.009290556,Residential,1,Not Allowed,No,17.32809215,Foggy
189,qp096g,48,0,0.030251609,Residential,1,Not Allowed,No,6.091352348,Snowy
190,qp0975,48,0,0.126854718,Residential,2,Not Allowed,Yes,29.09591424,Sunny
191,qp0977,48,0,0.015076729,Residential,2,Not Allowed,Yes,18.10747715,Foggy
192,qp097e,48,0,0.079649611,Residential,2,Not Allowed,Yes,21.95136094,Sunny
193,qp097g,48,0,0.065913307,Residential,3,Allowed,Yes,17.59091423,Foggy
194,qp09ke,48,0,0.062697524,Residential,3,Allowed,Yes,12.67576966,
195,qp03ms,48,0,0.004812762,Residential,2,Not Allowed,Yes,10.13087749,Rainy
196,qp03mu,48,0,0.009434529,Residential,2,Not Allowed,Yes,12.9570994,Rainy
197,qp03qh,48,0,0.034072258,Residential,3,Allowed,Yes,21.10760267,Sunny
198,qp03qs,48,0,0.088938325,Residential,2,Not Allowed,Yes,12.99443366,Rainy
199,qp03qu,48,0,0.110981786,Residential,3,Allowed,Yes,23.07499464,Sunny
200,qp03rh,48,0,0.025844812,Residential,1,Not Allowed,No,16.62870134,Foggy
201,qp03rk,48,0,0.011637271,Residential,1,Not Allowed,No,8.01091292,Rainy
202,qp03rs,48,0,0.021069454,Residential,2,Not Allowed,Yes,30.56491741,Sunny
203,qp03ru,48,0,0.052531505,Residential,1,Not Allowed,No,17.6740709,Foggy
204,qp092h,48,0,0.079627659,Residential,3,Allowed,Yes,19.65755021,Sunny
205,qp092k,48,0,0.102426354,Residential,2,Not Allowed,Yes,31.35850903,Sunny
206,qp092s,48,0,0.025149668,Residential,2,Not Allowed,Yes,5.768151846,Snowy
207,qp093u,48,0,0.013594598,Residential,2,Not Allowed,Yes,18.91954153,Foggy
208,qp096s,48,0,0.064482811,Residential,3,Allowed,Yes,19.63982782,Sunny
209,qp096u,48,0,0.291181505,Street,1,Not Allowed,Yes,29.41526222,Sunny
210,qp097h,48,0,0.014905768,Residential,1,Not Allowed,No,8.903490848,Rainy
211,qp097k,48,0,0.025651361,Residential,2,Not Allowed,Yes,20.48352392,Sunny
212,qp097s,48,0,0.155702168,Residential,1,Not Allowed,No,19.64081299,Sunny
213,qp097u,48,0,0.114800143,Residential,2,Not Allowed,Yes,28.25575377,Sunny
214,qp03mt,48,0,0.011971097,Residential,3,Allowed,Yes,16.53232947,Foggy
215,qp03mv,48,0,0.021727989,Residential,2,Not Allowed,Yes,23.00311386,Sunny
216,qp03qj,48,0,0.062810812,Residential,2,Not Allowed,Yes,19.26276438,Sunny
217,qp03qm,48,0,0.083783987,Residential,2,Not Allowed,Yes,,Foggy
218,qp03qv,48,0,0.035655495,Residential,1,Not Allowed,No,29.94659062,Sunny
219,qp03rj,48,0,0.017358085,Residential,2,Not Allowed,Yes,22.36692015,Sunny
220,qp03rm,48,0,0.085154718,Residential,1,Not Allowed,No,14.4315054,Foggy
221,qp03rt,48,0,0.054916395,Residential,1,Not Allowed,No,13.33354649,Rainy
222,qp03rv,48,0,0.066012101,Residential,3,Allowed,Yes,4.383973217,Snowy
223,qp092j,48,0,0.141698153,Residential,2,Not Allowed,Yes,22.51198087,Sunny
224,qp092m,48,0,0.110809214,Residential,1,Not Allowed,No,13.36606117,Rainy
225,qp092t,48,0,0.038374141,Residential,3,Allowed,Yes,11.93892781,Rainy
226,qp093v,48,0,0.057813131,Residential,2,Not Allowed,Yes,15.99464608,Foggy
227,qp096j,48,0,0.052872296,Residential,1,Not Allowed,No,6.942502281,Snowy
228,qp096m,48,0,0.011747996,Residential,2,Not Allowed,Yes,-1.381516244,Snowy
229,qp096t,48,0,0.127581037,Residential,3,Allowed,Yes,19.69659427,Sunny
230,qp096v,48,0,0.344922334,Street,1,Not Allowed,Yes,22.36167803,Sunny
231,qp097j,48,0,0.010209523,Residential,3,Allowed,Yes,10.84170205,Rainy
232,qp097t,48,0,0.042480811,Residential,2,Not Allowed,Yes,22.19387044,Sunny
233,qp097v,48,0,0.091609388,Residential,2,Not Allowed,Yes,15.69776694,Foggy
234,qp09km,48,0,0.000528207,Residential,1,Not Allowed,No,20.62085677,Sunny
235,qp09kt,48,0,0.032975222,Residential,1,Not Allowed,No,25.65023662,Sunny
236,qp09kv,48,0,0.143647352,Residential,3,Allowed,Yes,17.74360567,Foggy
237,qp09mj,48,0,0.001333334,Residential,2,Not Allowed,Yes,8.998132145,Rainy
238,qp09mt,48,0,0.022239508,Residential,3,Allowed,Yes,14.32015732,Foggy
239,qp03mw,48,0,0.019981158,Residential,1,Not Allowed,No,7.220581469,Rainy
240,qp03my,48,0,0.028127587,Residential,3,Allowed,Yes,15.12720043,Foggy
241,qp03qq,48,0,0.001805074,Residential,1,Not Allowed,No,13.41695655,Rainy
242,qp03qy,48,0,0.024815055,Residential,2,Not Allowed,Yes,9.727462109,Rainy
243,qp03rn,48,0,0.009969492,Residential,2,Not Allowed,Yes,23.28785213,Sunny
244,qp03rq,48,0,0.020524192,Residential,2,Not Allowed,Yes,25.3999013,Sunny
245,qp03rw,48,0,0.051131707,Residential,3,Allowed,Yes,4.524413812,Snowy
246,qp03ry,48,0,0.081162522,Residential,2,Not Allowed,Yes,30.56093222,Sunny
247,qp092n,48,0,0.130697386,Residential,2,Not Allowed,Yes,9.29456266,Rainy
248,qp092q,48,0,0.076577341,Residential,1,Not Allowed,No,,Foggy
249,qp092w,48,0,0.046245988,Residential,1,Not Allowed,No,25.97205907,Sunny
250,qp093w,48,0,0.061338393,Residential,2,Not Allowed,Yes,20.96300784,Sunny
251,qp093y,48,0,0.023886689,Residential,3,Allowed,Yes,8.33645758,Rainy
252,qp096n,48,0,0.059887192,Residential,1,Not Allowed,No,11.5860987,Rainy
253,qp096q,48,0,0.290981887,Street,1,Not Allowed,Yes,14.27098707,Foggy
254,qp096w,48,0,0.15873517,Residential,2,Not Allowed,Yes,24.44386947,Sunny
255,qp096y,48,0,0.148479553,Residential,1,Not Allowed,No,20.57688307,Sunny
256,qp097n,48,0,0.005744798,Residential,2,Not Allowed,Yes,29.01262624,Sunny
257,qp097w,48,0,2.48E-05,Residential,3,Allowed,Yes,26.65180758,Sunny
258,qp097y,48,0,0.109628984,,1,Not Allowed,No,20.21343915,Sunny
259,qp09kn,48,0,0.0335095,Residential,3,Allowed,Yes,18.94596658,Foggy
260,qp09kw,48,0,0.004552969,Residential,3,Allowed,Yes,8.994313454,Rainy
261,qp09mn,48,0,0.001981555,Residential,3,Allowed,Yes,9.205970347,Rainy
262,qp09mw,48,0,0.014047073,Residential,2,Not Allowed,Yes,2.864057498,Snowy
263,qp03mz,48,0,0.035070516,Residential,2,Not Allowed,Yes,9.589833919,Rainy
264,qp03qz,48,0,0.002705833,Residential,2,Not Allowed,Yes,17.54658298,Foggy
265,qp03rp,48,0,0.014806678,Residential,1,Not Allowed,No,6.788944114,Snowy
266,qp03rr,48,0,0.057414636,Residential,3,Allowed,Yes,22.80817649,Sunny
267,qp03rx,48,0,0.06383998,Residential,2,Not Allowed,Yes,11.77045226,Rainy
268,qp03rz,48,0,0.049763417,Residential,3,Allowed,Yes,20.8232202,Sunny
269,qp092p,48,0,0.048152934,Residential,3,Allowed,Yes,12.29294856,Rainy
270,qp092r,48,0,0.025656631,Residential,1,Not Allowed,No,12.2546534,Rainy
271,qp092x,48,0,0.048621373,Residential,2,Not Allowed,Yes,13.33529045,Rainy
272,qp093p,48,0,0.024088042,Residential,2,Not Allowed,Yes,19.77559919,Sunny
273,qp093r,48,0,0.010777256,Residential,1,Not Allowed,No,15.18369666,Foggy
274,qp093x,48,0,0.09871933,Residential,3,Allowed,Yes,24.16122821,Sunny
275,qp096p,48,0,0.027220304,Residential,2,Not Allowed,Yes,0.177899077,Snowy
276,qp096r,48,0,0.21500347,Residential,2,Not Allowed,Yes,23.0574245,Sunny
277,qp096x,48,0,0.39969802,Highway,4,Allowed,Yes,20.28470962,Sunny
278,qp096z,48,0,0.185454469,Residential,3,Allowed,Yes,20.79603196,Sunny
279,qp097z,48,0,0.00327739,Residential,1,Not Allowed,No,,Sunny
280,qp09kr,48,0,0.005479338,Residential,2,Not Allowed,Yes,18.39327722,Foggy
281,qp09kx,48,0,0.019426273,Residential,3,Allowed,Yes,28.80525709,Sunny
282,qp09kz,48,0,0.180538032,Residential,3,Allowed,Yes,22.94494062,Sunny
283,qp09mp,48,0,0.0132253,Residential,2,Not Allowed,Yes,17.6217494,Foggy
284,qp09mr,48,0,0.019156489,Residential,3,Allowed,Yes,30.01814084,Sunny
285,qp09mx,48,0,0.090876485,Residential,3,Allowed,Yes,23.71449434,Sunny
286,qp03t2,48,0,0.003233261,Residential,3,Allowed,Yes,10.2842673,Rainy
287,qp03t8,48,0,0.016689838,Residential,1,Not Allowed,No,20.03097605,Sunny
288,qp03tb,48,0,0.037969847,Residential,3,Allowed,Yes,19.05157803,Sunny
289,qp03w0,48,0,0.015091672,Residential,3,Allowed,Yes,25.17343295,Sunny
290,qp03w8,48,0,0.032263881,Residential,2,Not Allowed,Yes,28.41792473,Sunny
291,qp03x2,48,0,0.023716611,Residential,3,Allowed,Yes,24.70039507,
292,qp03x8,48,0,0.040686882,Residential,3,Allowed,Yes,24.04967004,Sunny
293,qp03xb,48,0,0.018485827,Residential,2,Not Allowed,Yes,15.61786822,Foggy
294,qp0982,48,0,0.041648254,Residential,2,Not Allowed,Yes,26.74235785,Sunny
295,qp0988,48,0,0.024456949,Residential,2,Not Allowed,Yes,10.04018314,Rainy
296,qp0992,48,0,0.092316384,Residential,3,Allowed,Yes,17.6228054,Foggy
297,qp0998,48,0,0.057095344,Residential,3,Allowed,Yes,7.854191398,Rainy
298,qp099b,48,0,0.06331244,Residential,3,Allowed,Yes,35.59400847,Sunny
299,qp09d2,48,0,0.316075212,Street,1,Not Allowed,Yes,2.698223887,Snowy
300,qp09d8,48,0,0.526140735,Highway,5,Allowed,No,14.9043251,Foggy
301,qp09db,48,0,0.16964201,Residential,3,Allowed,Yes,27.99811871,Sunny
302,qp09e2,48,0,0.016427528,Residential,1,Not Allowed,No,22.7582048,Sunny
303,qp09e8,48,0,0.02834054,Residential,3,Allowed,Yes,13.75124948,Rainy
304,qp09eb,48,0,0.050855858,Residential,2,Not Allowed,Yes,25.16934852,Sunny
305,qp09s8,48,0,0.04160285,Residential,3,Allowed,Yes,26.9472906,Sunny
306,qp09sb,48,0,0.108365303,Residential,2,Not Allowed,Yes,12.5768484,Rainy
307,qp09t0,48,0,0.149663163,Residential,2,Not Allowed,Yes,25.39007578,Sunny
308,qp09t2,48,0,0.008837522,Residential,2,Not Allowed,Yes,22.85271878,Sunny
309,qp09t8,48,0,0.097050052,Residential,2,Not Allowed,Yes,18.43590274,Foggy
310,qp03t3,48,0,0.012129833,Residential,2,Not Allowed,Yes,,Foggy
311,qp03tc,48,0,0.011038273,Residential,1,Not Allowed,No,26.69331223,Sunny
312,qp03w1,48,0,0.064835785,Residential,2,Not Allowed,Yes,27.67623905,Sunny
313,qp03w3,48,0,0.023736194,Residential,1,Not Allowed,No,26.85001202,Sunny
314,qp03w9,48,0,0.208530611,Residential,1,Not Allowed,No,25.05358673,Sunny
